Organism	Protein	COG	Cat	Annotation
192	193	COG2238	J	Ribosomal protein S19E (S16A)
1719	2398	COG2239	P	Mg/Co/Ni transporter MgtE (contains CBS domain)
877	916	COG2241	H	Precorrin-6Y C5,15-methylase subunit CbiE
974	1243	COG2242	H	Precorrin-6Y C5,15-methylase subunit CbiT
848	1050	COG2243	H	Precorrin-2 methylase
1220	1853	COG2246	I	Putative flippase GtrA (transmembrane translocase of bactoprenol-linked glucose)
403	462	COG2251	R	Predicted nuclease, RecB family
1207	1712	COG2252	F	Xanthine/guanine/uracil/vitamin C permease GhxP/GhxQ, nucleobase:cation symporter 2 ( NCS2) family
647	1031	COG2253	V	Predicted nucleotidyltransferase component of viral defense system
1271	2714	COG2259	S	Uncharacterized membrane protein YphA, DoxX/SURF4 family
184	215	COG2260	J	rRNA maturation protein Nop10, contains Zn-ribbon domain
2033	2210	COG2262	J	50S ribosomal subunit-associated GTPase HflX
310	366	COG2263	R	Predicted RNA methylase
199	205	COG2266	H	GTP:adenosylcobinamide-phosphate guanylyltransferase
1654	7255	COG2271	G	Sugar phosphate permease
1001	1948	COG2301	G	Citrate lyase beta subunit
1147	3843	COG2303	I R	Choline dehydrogenase or related flavoprotein
95	95	COG2305	J	RNAseW, contains DUF402 and RNAse G/E-like domains
770	1296	COG2309	E	Leucyl aminopeptidase (aminopeptidase T)
668	721	COG2317	O	Zn-dependent carboxypeptidase, M32 family
404	479	COG2322	O	Cytochrome oxidase assembly protein CtaM/YozB, DUF420 family
323	334	COG2324	I	Carotenoid 2',3'-hydratase CruF
1038	1765	COG2329	H	Heme-degrading monooxygenase HmoA and related ABM domain proteins
964	1866	COG2337	V	mRNA-degrading endonuclease MazF, toxin component of the MazEF toxin-antitoxin module
555	730	COG2339	T	Membrane proteinase PrsW, cleaves anti-sigma factor RsiW, M82 family
589	653	COG2351	F	5-hydroxyisourate hydrolase (purine catabolism), transthyretin-related family
1059	1099	COG2352	C	Phosphoenolpyruvate carboxylase
784	1804	COG2358	R	TRAP-type uncharacterized transport system, periplasmic component
447	869	COG2361	V	HEPN domain protein, predicted toxin of MNT-HEPN system
560	595	COG2371	O	Urease accessory protein UreE
618	1537	COG2376	G	Dihydroxyacetone kinase
657	722	COG2379	G	Glycerate-2-kinase
81	83	COG2383	S	Uncharacterized membrane protein, Fun14 family
240	540	COG2402	V	Ribonuclease VapC1, toxin component of the VapBC toxin-antitoxin module, contains PIN domain
258	290	COG2404	J T	Oligoribonuclease NrnA/c-di-AMP phosphodiesterase DhhP, DHH superfamily
318	653	COG2405	R	Predicted nucleic acid-binding protein, contains PIN domain
168	169	COG2412	S	Uncharacterized conserved protein, DUF424 domain
569	872	COG2421	C	Acetamidase/formamidase
837	1560	COG2423	E	Ornithine cyclodeaminase/archaeal alanine dehydrogenase, mu-crystallin family
206	316	COG2427	C	Mo-containing formate dehydrogenase ForCE, ForE/YjgD subunit
101	112	COG2429	F	Archaeal GTP cyclohydrolase III
171	178	COG2433	R	Possible nuclease of RNase H fold, RuvC/YqgF family
333	1199	COG2442	V	Predicted antitoxin component of a toxin-antitoxin system, DUF433 family
166	166	COG2443	U	Preprotein translocase subunit Sss1
382	606	COG2445	R	Uncharacterized HEPN domain protein YutE, UPF0331/DUF86 family
150	151	COG2450	D	Predicted archaeal cell division protein, SepF family
220	224	COG2457	S	Uncharacterized conserved protein, DUF447 domain
613	742	COG2510	H	Riboflavin transporter RibN, EamA domain
209	216	COG2511	J	Archaeal Glu-tRNAGln amidotransferase subunit E, contains GAD domain
209	573	COG2512	R	Predicted transcriptional regulator, contains CW (cell wall-binding) repeats and an HTH domain
920	1516	COG2513	G	2-Methylisocitrate lyase and related enzymes, PEP mutase family
1390	2335	COG2518	O	Protein-L-isoaspartate O-methyltransferase
670	743	COG2519	J	tRNA A57/A58 N1-methylase Trm61
253	430	COG2520	J	tRNA G37 N1-methylase Trm5
217	317	COG2522	K	Predicted transcriptional regulator, contains HTH domain
1132	2067	COG2524	K	Predicted transcriptional regulator, contains C-terminal CBS domains
1800	3864	COG2608	P	Copper chaperone CopZ
576	592	COG2718	R	Uncharacterized conserved protein YeaH/YhbH, required for sporulation, DUF444 family
572	587	COG2719	D	Stage V sporulation protein SpoVR/YcgB, involved in spore cortex formation (function unknown)
141	145	COG2725	T	c-di-AMP synthetase, DacZ/CdaZ superfamily, contains PK_C-type and DAC domains
908	960	COG2759	F	Formyltetrahydrofolate synthetase
1136	1627	COG2761	O	Predicted dithiol-disulfide isomerase, DsbA/YjbH family (virulence, stress resistance)
574	679	COG2766	T	Predicted Ser/Thr protein kinase
177	181	COG2811	C	Archaeal/vacuolar-type H+-ATPase subunit H
2194	30177	COG2814	G	Predicted arabinose efflux permease AraJ, MFS family
681	934	COG2820	F	Uridine phosphorylase
1138	1814	COG2827	L	Predicted endonuclease, GIY-YIG superfamily
1226	1296	COG2835	J	RNA methyltransferase activator Trm112/YbaR
641	916	COG2837	P	Periplasmic deferrochelatase/peroxidase EfeB
483	487	COG2839	P	Membrane protein involved in Mn homeostasis, YqgC/DUF456 family
733	1029	COG2843	M	Poly-gamma-glutamate biosynthesis protein CapA/YwtB (capsule formation), metallophosphatase superfamily
1037	1222	COG2855	S	Uncharacterized membrane protein YeiH, induced by redox stress, UPF0324 family
855	1736	COG2865	K	Predicted transcriptional regulator, contains HTH domain
1089	1426	COG2867	J	Ribosome association toxin PasT (RatA) of the RatAB toxin-antitoxin module
1353	1897	COG2873	E	O-acetylhomoserine/O-acetylserine sulfhydrylase, pyridoxal phosphate-dependent
858	897	COG2875	H	Precorrin-4 methylase
114	154	COG2881	R	GTPase-interacting Yip1 domain
159	308	COG2886	R	Predicted antitoxin, contains HTH domain
306	372	COG2888	R	Predicted RNA-binding protein involved in translation, contains Zn-ribbon domain, DUF1610 family
2249	3638	COG2890	J	Methylase of polypeptide chain release factors
142	146	COG2892	J	tRNA A37 N6-threonylcarbamoyladenosine modification (KEOPS) complex, Pcc1 subunit
1689	1926	COG2896	H	GTP 3',8-cyclase (molybdenum cofactor biosynthesis protein MoaA)
1369	2427	COG2897	P	3-mercaptopyruvate sulfurtransferase SseA, contains two rhodanese domains
1669	4021	COG2905	T	Signal-transduction protein containing cAMP-binding, CBS, and nucleotidyltransferase domains
865	1055	COG2928	S	Uncharacterized membrane protein, DUF502 domain
738	1365	COG2936	R	Predicted acyl esterase
799	913	COG2945	R	Alpha/beta superfamily hydrolase
336	383	COG2988	E	Succinylglutamate desuccinylase
291	333	COG3002	C	Na+:bicarbonate transporter, MpsB/DabA subunit, DUF2309 family
879	1106	COG3011	R	Predicted thiol-disulfide oxidoreductase YuxK, DCC family
846	850	COG3030	R	FxsA protein affecting phage T7 exclusion by the F plasmid, UPF0716 family
430	1353	COG3039	X	Transposase and inactivated derivatives, IS5 family
521	527	COG3046	R	Uncharacterized conserved protein related to deoxyribodipyrimidine photolyase
202	211	COG3075	E	Anaerobic glycerol-3-phosphate dehydrogenase
2219	6493	COG3118	O	Chaperedoxin CnoX, contains thioredoxin-like and TPR-like domains, YbbN/TrxSC family
1027	8465	COG3119	P	Arylsulfatase A or related enzyme, AlkP superfamily
1470	3391	COG3153	R	Predicted N-acetyltransferase YhbS
377	422	COG3174	P	Membrane component of predicted Mg2+ transport system, contains DUF4010 domain
1097	1597	COG3185	E R	4-hydroxyphenylpyruvate dioxygenase and related hemolysins
533	591	COG3195	F	2-oxo-4-hydroxy-4-carboxy--5-ureidoimidazoline (OHCU) decarboxylase (uric acid degradation)
294	327	COG3199	F	NAD kinase
1449	6285	COG3210	U	Large exoprotein involved in heme utilization or adhesion
735	837	COG3217	V F	N-hydroxylaminopurine reductase subunit YcbX, contains MOSC domain
1004	2124	COG3221	P	ABC-type phosphate/phosphonate transport system, periplasmic component
588	638	COG3222	S	Uncharacterized conserved protein, glycosyltransferase A (GT-A) superfamily, DUF2064 family
690	858	COG3225	N	ABC-type uncharacterized transport system involved in gliding motility, auxiliary component
663	1311	COG3243	I	Poly-beta-hydroxybutyrate synthase
210	215	COG3252	H	Methenyltetrahydromethanopterin cyclohydrolase
513	526	COG3253	H P	Coproheme decarboxylase/chlorite dismutase
1399	2849	COG3264	M	Small-conductance mechanosensitive channel MscK
340	464	COG3268	S	Uncharacterized conserved protein, related to short-chain dehydrogenases
172	508	COG3269	R	Predicted RNA-binding protein, contains TRAM domain
417	432	COG3270	J	16S rRNA C1400/C1404/C1407 or tRNA-Tyr C49 C5-methylase RsmF, FMU family
260	335	COG3273	R	Uncharacterized protein, contains PhoU and TrkA_C domains
160	160	COG3277	J	rRNA processing protein Gar1
197	207	COG3294	R	Metal-dependent phosphatase/phosphodiesterase, HD supefamily
490	676	COG3296	R	Uncharacterized Tic20-related protein, DUF4870 domain
537	724	COG3313	R	Predicted Fe-S protein YdhL, DUF1289 family
508	516	COG3332	R	Uncharacterized stress-responsive protein, TANGO2 (Transport and Golgi organisation 2) family, contains NRDE motif
432	1919	COG3335	X	Transposase
198	569	COG3355	K N	Transcriptional regulator of archaellar biosynthesis and archaeal biofilm formation AfbR
118	121	COG3356	I	Predicted membrane-associated lipid hydrolase, neutral ceramidase superfamily
143	145	COG3357	K	Predicted transcriptional regulator, contains HTH and Zn-ribbon domains
361	480	COG3358	S	Uncharacterized conserved protein, DUF1684 family
461	515	COG3359	R	Uncharacterized conserved protein YprB, contains RNaseH-like and TPR domains
303	352	COG3361	S	Uncharacterized conserved protein YqjF, DUF2071 family
153	153	COG3363	F	Archaeal IMP cyclohydrolase
104	105	COG3364	R	Predicted nucleic acid-binding protein, contains Zn-ribbon domain
101	101	COG3365	S	Uncharacterized conserved protein, DUF2073 family
110	139	COG3366	S	Uncharacterized membrane protein
390	450	COG3367	R	Uncharacterized conserved protein, NAD-dependent epimerase/dehydratase family
580	648	COG3369	S	Uncharacterized conserved protein, contains Zn-finger domain of CDGSH type
162	215	COG3370	R	Uncharacterized conserved protein AF1964, DsrE/DsrF-like family
194	221	COG3372	R	Predicted nuclease of restriction endonuclease-like (RecB) superfamily, implicated in nucleotide excision repair
254	521	COG3379	R	Predicted phosphohydrolase or phosphomutase, AlkP superfamily
362	382	COG3380	R	Predicted NAD/FAD-dependent oxidoreductase
1283	2375	COG3383	C	Mo-containing formate dehydrogenase ForCE, catalytic subunit
444	1664	COG3385	X	IS4 transposase InsG
1067	3018	COG3386	G	Sugar lactone lactonase YvrE
839	1452	COG3387	G	Glucoamylase (glucan-1,4-alpha-glucosidase), GH15 family
105	132	COG3388	K	Predicted transcriptional regulator
109	113	COG3389	O	Presenilin-like membrane protease, A22 family
125	229	COG3390	L	Replication protein A (RPA) family protein
664	1130	COG3393	R	Predicted acetyltransferase, GNAT family
152	389	COG3398	K	Predicted transcriptional regulator, contains two HTH domains
505	629	COG3402	S	Uncharacterized membrane protein YdbS, contains bPH2 (bacterial pleckstrin homology) domain
154	169	COG3403	Q	Heme-dependent guanidine N-oxygenase, YqcI/YcgG/ChmN family
356	371	COG3407	I	Mevalonate pyrophosphate decarboxylase
239	260	COG3410	S	Uncharacterized conserved protein, DUF2075 family
847	1498	COG3411	C	2Fe-2S ferredoxin
352	372	COG3412	T	Phosphotransferase subunit DhaM of the dihydroxyacetone kinase DhaKLM complex, contains PTS-EIIA, HPr, and PEP-utilizing domains
111	1999	COG3413	R	Predicted transcriptional regulator, contains HTH domain
782	3365	COG3415	V	CRISPR-associated protein Csa3, CARF domain
441	526	COG3425	I	3-hydroxy-3-methylglutaryl CoA synthase
523	865	COG3427	C	Carbon monoxide dehydrogenase subunit CoxG
752	1213	COG3428	S	Uncharacterized membrane protein YdbT, contains bPH2 (bacterial pleckstrin homology) domain
98	411	COG3430	N	Archaeal flagellin (archaellin), FlaG/FlaF family
240	334	COG3431	S	Uncharacterized membrane protein, DUF373 family
112	335	COG3432	B	Chromatin-binding protein Sso10a family, contains stand-alone HTH domain
493	2353	COG3436	X	Accessory protein of IS66 transposable element
1263	2370	COG3448	J T	CBS domain-containing protein, includes archaeal ribosome hibernation factor Dri
315	462	COG3454	P	Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase PhnM
426	768	COG3462	S	Uncharacterized protein, contains short C-terminal (SHOCT) domain
239	268	COG3472	S	Uncharacterized conserved protein domain, often C-terminal to DUF262
92	115	COG3582	V	CDC48-associated ubiquitin-like protein CUZ1, contains AN1-type Zn-finger (protection from As/Sb toxicity)
837	1512	COG3608	R	Predicted deacylase
613	1176	COG3609	K	Transcriptional regulator, contains Arc/MetJ-type RHH (ribbon-helix-helix) DNA-binding domain
104	104	COG3612	S	Predicted DNA-binding protein AF1194, contains HTH domain, DUF2240 family
1155	1825	COG3620	K	Predicted transcriptional regulator, contains an XRE-type HTH domain (archaeal members contain CBS pair)
273	289	COG3624	P	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG
279	298	COG3625	P	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH
272	291	COG3626	P	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI
270	287	COG3627	P	Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase PhnJ
1087	2778	COG3631	R	Ketosteroid isomerase-related protein
676	922	COG3638	P	ABC-type phosphate/phosphonate transport system, ATPase component
680	1387	COG3639	P	ABC-type phosphate/phosphonate transport system, permease component
522	728	COG3642	J	tRNA A37 N6-threonylcarbamoyl transferase component Bud32
142	148	COG3648	Q	Uricase (urate oxidase)
376	416	COG3649	V	CRISPR-Cas system type I effector complex subunit Cas7, RAMP superfamily
397	402	COG3651	S	Uncharacterized conserved protein, DUF2237 family
720	821	COG3654	X	Prophage maintenance system killer protein
293	533	COG3670	Q	Carotenoid cleavage dioxygenase or a related enzyme
202	398	COG3676	X	Transposase and inactivated derivatives
458	1474	COG3677	X	Transposase InsA
330	473	COG3679	T	Cell fate regulator YlbF, YheA/YmcA/DUF963 family (controls sporulation, competence, biofilm development)
413	769	COG3743	L	Predicted 5' DNA nuclease, flap endonuclease-1-like, helix-3-turn-helix (H3TH) domain
710	1734	COG3794	C	Plastocyanin
787	1294	COG3837	S	Uncharacterized conserved protein, cupin superfamily
1469	5236	COG3839	G	ABC-type sugar transport system, ATPase component MalK
1742	5375	COG3842	E	ABC-type Fe3+/spermidine/putrescine transport systems, ATPase component
1094	2423	COG3845	F	ABC-type guanosine uptake system NupNOPQ, ATPase component NupO
426	442	COG3848	T	Phosphohistidine swiveling domain of PEP-utilizing enzymes
856	920	COG3857	L	ATP-dependent helicase/DNAse subunit B
347	376	COG3980	M	Spore coat polysaccharide biosynthesis protein SpsG, predicted glycosyltransferase
148	148	COG4023	U	Preprotein translocase subunit SecG (Sec61beta)
80	80	COG4031	S	Uncharacterized metal-binding protein, DUF2103 family
80	80	COG4044	S	Uncharacterized conserved protein, DUF2110 domain
164	178	COG4076	R	Predicted RNA methylase
102	115	COG4083	U	Exosortase/Archaeosortase
277	293	COG4107	P	ABC-type phosphonate transport system, ATPase component PhnK
1234	1405	COG4123	J	tRNA1(Val) A37 N6-methylase TrmN6
1285	1375	COG4149	P	ABC-type molybdate transport system, permease component ModB
1432	3904	COG4172	Q	ABC-type microcin C transport system, duplicated ATPase component YejF
1291	5332	COG4177	E	ABC-type branched-chain amino acid transport system, permease component
166	193	COG4186	R	Uncharacterized conserved protein MJ1445, calcineurin-like phosphoesterase superfamily
193	322	COG4190	K	Predicted transcriptional regulator, contains HTH domain
1426	3926	COG4221	C	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
169	294	COG4250	T	DICT sensory domain found in diguanylate cyclases and two-component systems
380	457	COG4262	R	Predicted spermidine synthase with an N-terminal membrane domain
520	652	COG4276	R	Ligand-binding SRPBCC domain
206	238	COG4294	L	UV DNA damage repair endonuclease
973	2624	COG4319	T	SnoaL-fold ligand-binding domain
235	245	COG4333	S	Uncharacterized conserved protein, DUF1643 domain
55	61	COG4344	K	Predicted transciptional regulator, contains DUF2250 domain
174	205	COG4347	S	Uncharacterized membrane protein YpjA
124	124	COG4357	O	Membrane protein assembly factor Hot13, CHY-type Zn-finger domain
569	640	COG4392	E	Branched-chain amino acid transport protein
2035	6948	COG4591	M	ABC-type lipoprotein targeting system transmembrane component LolC/LolE
996	1706	COG4603	F	ABC-type guanosine uptake system NupNOPQ, permease component NupP
562	857	COG4608	E	ABC-type oligopeptide transport system, ATPase component
265	704	COG4634	R	Predicted nuclease, contains PIN domain, potential toxin-antitoxin system component
556	1225	COG4666	R	TRAP-type uncharacterized transport system, fused permease components
474	577	COG4715	S	Uncharacterized protein, contains SWIM-type Zn finger domain
268	302	COG4729	S	Uncharacterized conserved protein, DUF1850 family
146	678	COG4742	K N	Transcriptional regulator of archaellar expression ArnR
117	175	COG4745	R	Predicted membrane-bound mannosyltransferase, involved in protein glycosylation
83	111	COG4746	S	Uncharacterized conserved protein
247	273	COG4748	S	Uncharacterized conserved protein, contains restriction enzyme R protein N terminal (HSDR_N) domain
84	84	COG4749	S	Uncharacterized conserved protein, DUF2150 domain
1868	3964	COG4770	I	Acetyl/propionyl-CoA carboxylase, alpha subunit
276	293	COG4778	P	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL
1396	3026	COG4799	I	Acetyl-CoA carboxylase, carboxyltransferase component
85	90	COG4801	R	Predicted acyltransferase, contains DUF342 domain
346	401	COG4894	I	Putative phospholipid scramblase YxjI, Tubby2 superfamily
1482	5524	COG4948	M R	L-alanine-DL-glutamate epimerase or related enzyme of enolase superfamily
2212	15090	COG4974	L	Site-specific tyrosine recombinase XerD
1958	3080	COG4992	E	Acetylornithine/succinyldiaminopimelate/putrescine aminotransferase
97	235	COG5023	D	Cell shape-controlling protein CetZ, FtsZ-like GTPase
191	212	COG5256	J	Translation elongation factor EF-1alpha (GTPase)
192	192	COG5257	J	Translation initiation factor 2, gamma subunit (eIF-2gamma; GTPase)
78	78	COG5258	R	GTPase
295	450	COG5282	O	Zn-dependent metallopeptidase, zincin/DUF2342 superfamily
634	1103	COG5340	V	Abortive phage infection protein AbiEi, antitoxin conponent of an AbiEi-AbiEii TA system
68	92	COG5378	R	Predicted nucleic acid-binding protein, contains PIN domain
104	146	COG5427	S	Predicted membrane glycosyltransferase AF0583, Arch_YYY/DUF2298 family
121	123	COG5431	R	Predicted nucleic acid-binding protein, contains SWIM-type Zn-finger domain
215	230	COG5459	J	Ribosomal protein RSM22 (predicted mitochondrial rRNA methylase)
146	232	COG5524	T C	Bacteriorhodopsin
268	372	COG5551	V	CRISPR/Cas system endoribonuclease Cas6, RAMP superfamily
505	1319	COG5635	T	Predicted NTPase, NACHT family domain
517	831	COG5637	S	Uncharacterized protein, contains SRPBCC (START) domain
906	1114	COG5652	M	VanZ-like family protein, affects resistance to lipoglycopeptide antibiotics, lipocone superfamily
301	1089	COG5659	X	SRSO17 transposase
581	1094	COG5748	H	Light-dependent NADPH-protochlorophyllide oxidoreductase
1006	3435	COG5809	D T	Sporulation sensor histidine kinase E
68	81	COG5930	V	CRISPR-Cas system type I-D effector complex large subunit Cas10d/Csc3, contains HD superfamily nuclease domain
119	129	COG5938	V	CRISPR-Cas system type I-B effector complex large subunit Cas8b1
69	76	COG5947	V	CRISPR-Cas system type I-D effector complex subunit Csc1, RAMP superfamily Cas5 group
78	86	COG5948	V	CRISPR-Cas system type I-D effector complex subunit Csc2, RAMP superfamily Cas7 group
1256	4122	COG5975	T	KinA-related sensor histidine kinase
1787	23196	COG5979	T	KinE-related sensor histidine kinase
399	625	COG5985	O	Archaeal-like signal peptidase I, S24/S26 peptidase family
59	88	COG6084	K N	Regulator of haloarchaeal motility, adhesion and cell morphology
58	198	COG6094	T	Halobacterial response regulator, contains REC and HalX domains
6	6	COG6101	U	ESCRT system component, contains wHTH domain
6	7	COG6102	U	ESCRT system component, contains coiled coil domain
30	96	COG6109	S	Uncharacterized archaeal protein, DUF1102 domain
71	96	COG6141	N	Uncharacterized protein, DUF5305 family
95	95	COG6142	M	Membrane protein insertase subunit EMC6
