Organism	Protein	COG	Cat	Annotation
376	435	COG1436	C	Archaeal/vacuolar-type H+-ATPase subunit F/Vma7
405	458	COG1437	T R	Adenylate cyclase class IV, CYTH domain (includes archaeal enzymes of unknown function)
183	191	COG1439	J	rRNA maturation endonuclease Nob1
920	1124	COG1443	I	Isopentenyldiphosphate isomerase
720	925	COG1446	E	Isoaspartyl peptidase or L-asparaginase, Ntn-hydrolase superfamily
1396	1785	COG1451	R	UTP pyrophosphatase, metal-dependent hydrolase family
189	191	COG1460	K	DNA-directed RNA polymerase, subunit F
187	192	COG1465	E	3-dehydroquinate synthase, class II
184	213	COG1467	L	Eukaryotic-type DNA primase, small subunit
696	981	COG1468	V	CRISPR/Cas system-associated exonuclease Cas4, RecB family
657	698	COG1469	H	GTP cyclohydrolase FolE2
387	615	COG1470	S	Uncharacterized membrane protein, contains glycosyltransferase-associated NEW3 domain
193	193	COG1471	J	Ribosomal protein S4E
1575	4274	COG1473	R	Metal-dependent amidase/aminoacylase/carboxypeptidase
312	1002	COG1474	L	Cdc6-related protein, AAA superfamily ATPase
2009	4763	COG1475	D	Chromosome segregation protein Spo0J, contains ParB-like CTPase domain
1296	3281	COG1476	K	DNA-binding transcriptional regulator, XRE-family HTH domain
406	477	COG1478	H	F420-0:Gamma-glutamyl ligase (F420 biosynthesis)
815	1236	COG1479	V	DNAse/DNA nickase specific for phosphorothioated or glycosylated phage DNA, GmrSD/DndB/SspE family, contains DUF262 and HNH nuclease domains
229	285	COG1483	R	Predicted ATPase, AAA+ superfamily
865	2595	COG1487	V	Ribonuclease/mRNA interferase VapC, contains PIN domain
1636	1787	COG1488	H	Nicotinic acid phosphoribosyltransferase
770	784	COG1489	T G	DNA-binding protein, stimulates sugar fermentation
208	209	COG1491	R	Predicted nucleic acid-binding OB-fold protein
1122	1198	COG1492	H	Cobyric acid synthase
122	127	COG1497	K	Predicted transcriptional regulator MJ0558, contains a CRP-type HTH domain
187	189	COG1498	J	Box C/D ribonucleoprotein Nop56/Prp31/SIK1 subunit
181	190	COG1499	J	NMD protein affecting ribosome stability and mRNA decay
193	195	COG1500	J	Ribosome maturation protein Sdo1
754	1400	COG1501	G	Alpha-glucosidase/xylosidase, GH31 family
1817	3931	COG1502	I	Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase
554	707	COG1503	J	Peptide chain release factor 1 (eRF1)
1679	7282	COG1506	E	Dipeptidyl aminopeptidase/acylaminoacyl peptidase
1486	2021	COG1514	J	RNA 2',3'-cyclic phosphodiesterase (2'-5' RNA ligase)
566	582	COG1515	L	Deoxyinosine 3'-endonuclease (endonuclease V)
1010	1543	COG1518	V	CRISPR-Cas system-associated integrase Cas1
1254	3616	COG1520	M	Outer membrane protein assembly factor BamB, contains beta-propeller repeat
1787	9587	COG1522	K	DNA-binding transcriptional regulator, Lrp family
1084	1823	COG1525	L	Endonuclease YncB, thermonuclease family
367	428	COG1527	C	Archaeal/vacuolar-type H+-ATPase subunit C/Vma6
1087	3672	COG1529	C	Aldehyde, CO or xanthine dehydrogenase, Mo-binding subunit
991	990	COG1534	J	RNA-binding protein YhbY
197	198	COG1537	J	Stalled ribosome rescue protein Dom34, pelota family
511	1380	COG1545	R	Uncharacterized OB-fold protein, contains Zn-ribbon domain
1958	2159	COG1546	H	Nicotinamide mononucleotide (NMN) deamidase PncC
425	503	COG1547	S	Predicted metal-dependent hydrolase
223	238	COG1552	J	Ribosomal protein L40E
1184	1867	COG1562	I	Phytoene/squalene synthetase
1855	1885	COG1570	L	Exonuclease VII, large subunit
202	287	COG1571	J	tRNA(Ile2) C34 agmatinyltransferase TiaS
1604	2759	COG1573	L	Uracil-DNA glycosylase
1088	1283	COG1575	H	1,4-dihydroxy-2-naphthoate polyprenyltransferase
475	745	COG1577	I	Mevalonate kinase
1134	1181	COG1585	O	Membrane protein implicated in regulation of membrane protease activity
1912	2349	COG1587	H	Uroporphyrinogen-III synthase
185	186	COG1588	J A	RNase P/RNase MRP subunit p29
170	183	COG1591	L	Holliday junction resolvase Hjc, archaeal type
220	367	COG1594	K	DNA-directed RNA polymerase, subunit M/Transcription elongation factor TFIIS
1868	22489	COG1595	K	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family
666	1916	COG1598	V	Antitoxin component HicB of the HicAB toxin-antitoxin system
185	467	COG1599	L	ssDNA-binding replication factor A, large subunit
188	218	COG1601	J	Translation initiation factor 2, beta subunit (eIF-2beta)/eIF-5 N-terminal domain
182	200	COG1602	L	Archaeal DNA repair protein NreA
151	152	COG1603	J A	RNase P/RNase MRP subunit p30
1871	2444	COG1605	E	Chorismate mutase
618	659	COG1606	R	ATP-utilizing enzyme, PP-loop superfamily
1307	2033	COG1607	I	Acyl-CoA hydrolase
197	202	COG1608	I	Isopentenyl phosphate kinase
1791	2888	COG1611	F	Nucleotide monophosphate nucleosidase PpnN/YdgH, Lonely Guy (LOG) family
1273	1360	COG1612	H	Heme A synthase
160	160	COG1617	J	tRNA threonylcarbamoyladenosine modification (KEOPS) complex, Cgi121 subunit
1468	2517	COG1622	C	Heme/copper-type cytochrome/quinol oxidase, subunit 2
59	61	COG1624	T	c-di-AMP synthetase, contains the diadenylate cyclase (DAC) domain
195	197	COG1628	R	Endonuclease V homolog, UPF0215 family
193	194	COG1631	J	Ribosomal protein L44E
190	193	COG1632	J	Ribosomal protein L15E
166	168	COG1634	H	6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase MptE (tetrahydrofolate and tetrahydromethanopterin biosynthesis)
180	188	COG1635	G H	Thiazole synthase/Archaeal ribulose 1,5-bisphosphate synthetase
522	656	COG1637	L	Endonuclease NucS, RecB family
1029	1176	COG1640	G	4-alpha-glucanotransferase
584	664	COG1641	H	CTP-dependent cyclometallase, nickel-pincer nucleotide (NPN) cofactor biosynthesis
191	191	COG1644	K	DNA-directed RNA polymerase, subunit N (RpoN/RPB10)
182	190	COG1645	R	Uncharacterized Zn-finger containing protein, UPF0148 family
398	430	COG1646	I	Glycerol-1-phosphate heptaprenyltransferase
1317	1460	COG1648	H	Siroheme synthase (precorrin-2 oxidase/ferrochelatase domain)
176	177	COG1650	J	D-tyrosyl-tRNA(Tyr) deacylase
1511	3629	COG1651	O	Protein thiol-disulfide isomerase DsbC
1415	10900	COG1653	G	ABC-type glycerol-3-phosphate transport system, periplasmic component
837	878	COG1654	K	Biotin operon repressor
337	342	COG1656	R	Uncharacterized conserved protein, contains PIN-related Mut7-C RNAse domain
444	516	COG1661	R	Predicted DNA-binding protein with PD1-like DNA-binding motif, PPC/DUF296 domain
829	2259	COG1669	R	Predicted nucleotidyltransferase MJ0435
533	1171	COG1672	R	Predicted ATPase, archaeal AAA+ ATPase superfamily
170	173	COG1675	K	Transcription initiation factor IIE, alpha subunit
192	244	COG1676	J	tRNA splicing endonuclease subunit SEN34
142	142	COG1685	E	Archaeal shikimate kinase
464	555	COG1688	V	CRISPR/Cas system-associated protein Cas5, RAMP superfamily
926	1178	COG1690	J	RNA-splicing ligase RtcB, repairs tRNA damage
598	619	COG1691	F	NCAIR mutase (PurE)-related protein
1415	5186	COG1695	K	DNA-binding transcriptional regulator, PadR family
220	227	COG1697	L	DNA topoisomerase VI, subunit A
157	159	COG1701	H	Archaeal phosphopantothenate synthetase
970	1441	COG1703	O	GTPase of the G3E family (not a periplasmic protein kinase)
183	186	COG1709	K	Predicted transcriptional regulator,contains XRE-type HTH domain
167	186	COG1711	L	DNA replication initiation complex subunit, GINS family
628	822	COG1715	V	Restriction endonuclease Mrr
411	443	COG1718	T	Serine/threonine-protein kinase RIO1
1628	3927	COG1721	R	Uncharacterized membrane-anchored protein with extracellular vWFA and Ig-like domains, component of a predicted archaeal secretion system
192	202	COG1727	J	Ribosomal protein L18E
194	199	COG1730	O	Prefoldin subunit 5
1492	4958	COG1733	K	DNA-binding transcriptional regulator, HxlR family
183	190	COG1736	J	Diphthamide synthase subunit DPH2
1310	1313	COG1739	R	Putative translation regulator, IMPACT (imprinted ancient) protein family
304	431	COG1743	L	Adenine-specific DNA methylase, contains a Zn-ribbon domain
1062	2130	COG1744	T	Lipoprotein Med, regulator of KinD/Spo0A, PBP1-ABC superfamily, includes NupN
92	195	COG1745	S	Uncharacterized metal-binding protein MJ1132, UPF0058 family
200	205	COG1746	J	tRNA nucleotidyltransferase (archaeal CCA-adding enzyme)
1799	1809	COG1758	K	DNA-directed RNA polymerase, subunit K/omega
190	191	COG1761	K	DNA-directed RNA polymerase, subunit L/RPAC2
836	898	COG1763	H	Molybdopterin-guanine dinucleotide biosynthesis protein
467	536	COG1767	H	Triphosphoribosyl-dephospho-CoA synthetase
302	744	COG1777	K	Predicted transcriptional regulator, ArsR family
449	450	COG1781	F	Aspartate carbamoyltransferase, regulatory subunit
393	453	COG1782	K	Transcription-terminating endoRNase FttA, contains metallo-beta-lactamase and KH domains
127	129	COG1784	R	TctA family transporter
1134	2004	COG1793	L	ATP-dependent DNA ligase
565	621	COG1796	L	DNA polymerase/3'-5' exonuclease PolX
1018	1176	COG1797	H	Cobyrinic acid a,c-diamide synthase
183	185	COG1798	J	Diphthamide biosynthesis methyltransferase
755	813	COG1803	G	Methylglyoxal synthase
1054	4585	COG1804	I	Crotonobetainyl-CoA:carnitine CoA-transferase CaiB and related acyl-CoA transferases
1318	3539	COG1807	M O	PMT family glycosyltransferase ArnT/Agl22, involved in glycosylation of proteins and lipid IVA
535	713	COG1808	S	Uncharacterized membrane protein AF0785, contains DUF389 domain
205	215	COG1812	H	Archaeal S-adenosylmethionine synthetase
505	658	COG1813	J	Archaeal ribosome-binding protein aMBF1, putative translation factor, contains Zn-ribbon and HTH domains
108	190	COG1824	P	Permease, similar to cation transporters
1120	1120	COG1828	F	Phosphoribosylformylglycinamidine (FGAM) synthase, PurS subunit
168	175	COG1829	H	Archaeal pantoate kinase
813	1117	COG1830	G	Fructose-bisphosphate aldolase class Ia, DhnA family
133	133	COG1831	R	Predicted metal-dependent hydrolase, urease superfamily
1127	1206	COG1832	R	Predicted CoA-binding protein
253	255	COG1833	R	Uri superfamily endonuclease
326	327	COG1836	R	Cytidylyltransferase family enzyme
1251	2670	COG1840	G H	ABC-type transport systems for B6 and hexose phosphate, periplasmic component
1949	1919	COG1841	J	Ribosomal protein L30/L7E
926	1297	COG1842	V M	Phage shock protein A involved in membrane remodeling, PspA/Vipp1/IM30 family
1452	2482	COG1845	C	Heme/copper-type cytochrome/quinol oxidase, subunit 3
181	183	COG1849	S	Uncharacterized conserved protein
170	172	COG1855	W U	Predicted ATPase, PilT family, contains N-terminal PIN domain
130	131	COG1860	L F	Predicted metal-binding protein, contains two cysteine clusters, UPF0179 family
273	322	COG1861	M	Spore coat polysaccharide biosynthesis protein SpsF, cytidylyltransferase family
912	1138	COG1863	P	Multisubunit Na+/H+ antiporter, MnhE subunit
315	348	COG1865	H	Adenosylcobinamide amidohydrolase
209	213	COG1867	J	tRNA G26 N,N-dimethylase Trm1
500	830	COG1873	R	Sporulation protein YlmC, YlmC/YmxH family, contains PRC-barrel domain
1085	1839	COG1878	E	Kynurenine formamidase
1055	2230	COG1884	I	Methylmalonyl-CoA mutase, N-terminal domain/subunit
94	156	COG1885	S	Uncharacterized conserved protein, UPF0212 family
186	186	COG1889	J	Fibrillarin-like rRNA 2'-O-methylase NOP1
190	192	COG1890	J	Ribosomal protein S3AE
1488	2530	COG1894	C	NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F)
517	594	COG1899	J O	Deoxyhypusine synthase
146	155	COG1901	J	tRNA pseudouridine-54 N-methylase
234	257	COG1907	H	Beta-ribofuranosylaminobenzene 5'-phosphate synthase (methanopterin biosynthesis)
178	178	COG1909	H	Archaeal dephospho-CoA kinase
501	623	COG1910	P	Periplasmic molybdate-binding protein/domain
670	725	COG1912	V H	Stereoselective (R,S)-S-adenosylmethionine hydrolase (adenosine-forming)
220	275	COG1913	O	Archaemetzincin, Zn-dependent protease
1132	1885	COG1914	E P	Mn2+, Fe2+, or oxoproline transporter MntH/PxpG, NRAMP family
298	323	COG1916	S	Pheromone shutdown protein TraB, contains GTxH motif (function unknown)
1872	7207	COG1917	R	Cupin domain protein related to quercetin dioxygenase
308	318	COG1920	H	2-phospho-L-lactate guanylyltransferase, coenzyme F420 biosynthesis enzyme, CobY/MobA/RfbA family
1544	2700	COG1925	T G	HPr or related phosphotransfer protein
519	630	COG1926	R	Predicted phosphoribosyltransferase
245	253	COG1930	P	ABC-type cobalt transport system, periplasmic component
148	149	COG1931	R	Predicted RNA binding protein with dsRBD fold, UPF0201 family
160	161	COG1933	L	Archaeal DNA polymerase II, large subunit
244	252	COG1936	F	Broad-specificity NMP kinase
389	585	COG1938	R	Predicted ATP-dependent carboligase, ATP-grasp superfamily
1740	6444	COG1940	K G	Sugar kinase of the NBD/HSP70 family, may contain an N-terminal HTH domain
613	803	COG1944	O	Peptide backbone phosphorylating domain YcaO, involved in protein thioamidation and methylthiolation
237	250	COG1945	E	Pyruvoyl-dependent arginine decarboxylase
220	265	COG1948	L	ERCC4-type crossover junction endonuclease
926	1607	COG1957	F	Inosine-uridine nucleoside N-ribohydrolase
187	321	COG1958	K	Small nuclear ribonucleoprotein (snRNP) homolog
1716	16245	COG1960	I	Acyl-CoA dehydrogenase related to the alkylation response protein AidB
280	313	COG1964	H I	Archaeal tetraether lipid synthase/C-terminal domain of the GTP 3',8'-cyclase MoaA, radical SAM superfamily
899	1077	COG1966	C E	Carbon starvation protein CstA (peptide/pyruvate transporter)
109	188	COG1967	S	Uncharacterized membrane protein
1993	2211	COG1968	I	Undecaprenyl pyrophosphate phosphatase
1136	1816	COG1975	O	Molybdoenzyme maturation factor PaoD (Mo cofactor insertion), XdhC/CoxF family
186	186	COG1976	J	Translation initiation factor 6 (eIF-6)
1537	2208	COG1977	H	Molybdopterin synthase sulfur carrier subunit MoaD
1973	2531	COG1985	H	Pyrimidine reductase, riboflavin biosynthesis
753	1024	COG1988	R	Membrane-bound metal-dependent hydrolase YbcI, DUF457 family
